西元日期,星期,是否放假,備註
20170101,日,True,開國紀念日
20170102,一,True,補假
20170103,二,False,無特別
20170104,三,False,無特別
20170105,四,False,無特別
20170106,五,False,無特別
20170107,六,True,無特別
20170108,日,True,無特別
20170109,一,False,無特別
20170110,二,False,無特別
20170111,三,False,無特別
20170112,四,False,無特別
20170113,五,False,無特別
20170114,六,True,無特別
20170115,日,True,無特別
20170116,一,False,無特別
20170117,二,False,無特別
20170118,三,False,無特別
20170119,四,False,無特別
20170120,五,False,無特別
20170121,六,True,無特別
20170122,日,True,無特別
20170123,一,False,無特別
20170124,二,False,無特別
20170125,三,False,無特別
20170126,四,False,無特別
20170127,五,True,農曆除夕
20170128,六,True,春節
20170129,日,True,春節
20170130,一,True,春節
20170131,二,True,補假
20170201,三,True,補假
20170202,四,False,無特別
20170203,五,False,無特別
20170204,六,True,無特別
20170205,日,True,無特別
20170206,一,False,無特別
20170207,二,False,無特別
20170208,三,False,無特別
20170209,四,False,無特別
20170210,五,False,無特別
20170211,六,True,無特別
20170212,日,True,無特別
20170213,一,False,無特別
20170214,二,False,無特別
20170215,三,False,無特別
20170216,四,False,無特別
20170217,五,False,無特別
20170218,六,False,調整上班
20170219,日,True,無特別
20170220,一,False,無特別
20170221,二,False,無特別
20170222,三,False,無特別
20170223,四,False,無特別
20170224,五,False,無特別
20170225,六,True,無特別
20170226,日,True,無特別
20170227,一,True,調整放假
20170228,二,True,和平紀念日
20170301,三,False,無特別
20170302,四,False,無特別
20170303,五,False,無特別
20170304,六,True,無特別
20170305,日,True,無特別
20170306,一,False,無特別
20170307,二,False,無特別
20170308,三,False,無特別
20170309,四,False,無特別
20170310,五,False,無特別
20170311,六,True,無特別
20170312,日,True,無特別
20170313,一,False,無特別
20170314,二,False,無特別
20170315,三,False,無特別
20170316,四,False,無特別
20170317,五,False,無特別
20170318,六,True,無特別
20170319,日,True,無特別
20170320,一,False,無特別
20170321,二,False,無特別
20170322,三,False,無特別
20170323,四,False,無特別
20170324,五,False,無特別
20170325,六,True,無特別
20170326,日,True,無特別
20170327,一,False,無特別
20170328,二,False,無特別
20170329,三,False,無特別
20170330,四,False,無特別
20170331,五,False,無特別
20170401,六,True,無特別
20170402,日,True,無特別
20170403,一,True,補假
20170404,二,True,兒童節及民族掃墓節
20170405,三,False,無特別
20170406,四,False,無特別
20170407,五,False,無特別
20170408,六,True,無特別
20170409,日,True,無特別
20170410,一,False,無特別
20170411,二,False,無特別
20170412,三,False,無特別
20170413,四,False,無特別
20170414,五,False,無特別
20170415,六,True,無特別
20170416,日,True,無特別
20170417,一,False,無特別
20170418,二,False,無特別
20170419,三,False,無特別
20170420,四,False,無特別
20170421,五,False,無特別
20170422,六,True,無特別
20170423,日,True,無特別
20170424,一,False,無特別
20170425,二,False,無特別
20170426,三,False,無特別
20170427,四,False,無特別
20170428,五,False,無特別
20170429,六,True,無特別
20170430,日,True,無特別
20170501,一,False,無特別
20170502,二,False,無特別
20170503,三,False,無特別
20170504,四,False,無特別
20170505,五,False,無特別
20170506,六,True,無特別
20170507,日,True,無特別
20170508,一,False,無特別
20170509,二,False,無特別
20170510,三,False,無特別
20170511,四,False,無特別
20170512,五,False,無特別
20170513,六,True,無特別
20170514,日,True,無特別
20170515,一,False,無特別
20170516,二,False,無特別
20170517,三,False,無特別
20170518,四,False,無特別
20170519,五,False,無特別
20170520,六,True,無特別
20170521,日,True,無特別
20170522,一,False,無特別
20170523,二,False,無特別
20170524,三,False,無特別
20170525,四,False,無特別
20170526,五,False,無特別
20170527,六,True,無特別
20170528,日,True,無特別
20170529,一,True,調整放假
20170530,二,True,端午節
20170531,三,False,無特別
20170601,四,False,無特別
20170602,五,False,無特別
20170603,六,False,調整上班
20170604,日,True,無特別
20170605,一,False,無特別
20170606,二,False,無特別
20170607,三,False,無特別
20170608,四,False,無特別
20170609,五,False,無特別
20170610,六,True,無特別
20170611,日,True,無特別
20170612,一,False,無特別
20170613,二,False,無特別
20170614,三,False,無特別
20170615,四,False,無特別
20170616,五,False,無特別
20170617,六,True,無特別
20170618,日,True,無特別
20170619,一,False,無特別
20170620,二,False,無特別
20170621,三,False,無特別
20170622,四,False,無特別
20170623,五,False,無特別
20170624,六,True,無特別
20170625,日,True,無特別
20170626,一,False,無特別
20170627,二,False,無特別
20170628,三,False,無特別
20170629,四,False,無特別
20170630,五,False,無特別
20170701,六,True,無特別
20170702,日,True,無特別
20170703,一,False,無特別
20170704,二,False,無特別
20170705,三,False,無特別
20170706,四,False,無特別
20170707,五,False,無特別
20170708,六,True,無特別
20170709,日,True,無特別
20170710,一,False,無特別
20170711,二,False,無特別
20170712,三,False,無特別
20170713,四,False,無特別
20170714,五,False,無特別
20170715,六,True,無特別
20170716,日,True,無特別
20170717,一,False,無特別
20170718,二,False,無特別
20170719,三,False,無特別
20170720,四,False,無特別
20170721,五,False,無特別
20170722,六,True,無特別
20170723,日,True,無特別
20170724,一,False,無特別
20170725,二,False,無特別
20170726,三,False,無特別
20170727,四,False,無特別
20170728,五,False,無特別
20170729,六,True,無特別
20170730,日,True,無特別
20170731,一,False,無特別
20170801,二,False,無特別
20170802,三,False,無特別
20170803,四,False,無特別
20170804,五,False,無特別
20170805,六,True,無特別
20170806,日,True,無特別
20170807,一,False,無特別
20170808,二,False,無特別
20170809,三,False,無特別
20170810,四,False,無特別
20170811,五,False,無特別
20170812,六,True,無特別
20170813,日,True,無特別
20170814,一,False,無特別
20170815,二,False,無特別
20170816,三,False,無特別
20170817,四,False,無特別
20170818,五,False,無特別
20170819,六,True,無特別
20170820,日,True,無特別
20170821,一,False,無特別
20170822,二,False,無特別
