時段,進站,人次
0,BL板橋,513458
0,Y板橋,80643
0,七張,99352
0,三和國中,86157
0,三民高中,70156
0,三重,117063
0,三重國小,116222
0,中原,10369
0,中和,20429
0,中山,969231
0,中山國中,164659
0,中山國小,419801
0,中正紀念堂,261798
0,丹鳳,60621
0,亞東醫院,131839
0,信義安和,471591
0,先嗇宮,50778
0,內湖,71896
0,公館,615632
0,六張犁,189604
0,劍南路,274179
0,劍潭,951229
0,動物園,33388
0,北投,129570
0,北門,207897
0,十四張,5918
0,南京三民,277884
0,南京復興,669177
0,南勢角,136924
0,南港,215150
0,南港展覽館,163490
0,南港軟體園區,24216
0,古亭,441627
0,台北101/世貿,635519
0,台北小巨蛋,303261
0,台北橋,208800
0,台北車站,3148214
0,台大醫院,251474
0,台電大樓,329995
0,唭哩岸,56210
0,善導寺,266498
0,國父紀念館,535962
0,圓山,303612
0,土城,40987
0,士林,358897
0,大坪林,159767
0,大安,335208
0,大安森林公園,93803
0,大橋頭站,196031
0,大湖公園,17384
0,大直,118454
0,奇岩,59301
0,小南門,69880
0,小碧潭,17827
0,市政府,1335823
0,幸福,15162
0,府中,348614
0,後山埤,175373
0,徐匯中學,88889
0,復興崗,27085
0,忠孝復興,1145221
0,忠孝敦化,1171126
0,忠孝新生,596654
0,忠義,19240
0,文德,33248
0,新北投,54623
0,新北產業園區,20929
0,新埔,248326
0,新埔民生,14075
0,新店,66737
0,新店區公所,61592
0,新莊,109036
0,昆陽,121294
0,明德,68639
0,景安,127379
0,景平,15870
0,景美,153223
0,木柵,16639
0,東湖,42740
0,東門,337081
0,松山,441961
0,松山機場,30939
0,松江南京,578701
0,板新,11979
0,橋和,8302
0,民權西路,362502
0,永安市場,170847
0,永寧,63537
0,永春,226973
0,江子翠,203020
0,海山,107893
0,淡水,312891
0,港墘,167997
0,石牌,276725
0,秀朗橋,8255
0,科技大樓,185087
0,竹圍,76541
0,紅樹林,75985
0,芝山,254578
0,菜寮,86382
0,萬芳社區,16358
0,萬芳醫院,67949
0,萬隆,73347
0,葫洲,44616
0,蘆洲,73468
0,行天宮,426368
0,西湖,173037
0,西門,2116167
0,象山,247945
0,輔大,138020
0,辛亥,18226
0,迴龍,61934
0,關渡,83763
0,雙連,439232
0,頂埔,35331
0,頂溪,286846
0,頭前庄,47361
0,麟光,38122
0,龍山寺,430273
1,BL板橋,11680
1,Y板橋,555
1,七張,2385
1,三和國中,1144
1,三民高中,862
1,三重,2958
1,三重國小,1400
1,中原,157
1,中和,338
1,中山,45176
1,中山國中,6176
1,中山國小,14638
1,中正紀念堂,12671
1,丹鳳,1278
1,亞東醫院,3455
1,信義安和,36010
1,先嗇宮,1320
1,內湖,2680
1,公館,22046
1,六張犁,14486
1,劍南路,22548
1,劍潭,29475
1,動物園,2124
1,北投,6935
1,北門,9171
1,十四張,113
1,南京三民,14144
1,南京復興,27561
1,南勢角,2121
1,南港,6021
1,南港展覽館,2335
1,南港軟體園區,380
1,古亭,15418
1,台北101/世貿,82436
1,台北小巨蛋,12679
1,台北橋,8618
1,台北車站,81124
1,台大醫院,18344
1,台電大樓,7736
1,唭哩岸,3323
1,善導寺,10219
1,國父紀念館,59168
1,圓山,15924
1,土城,1165
1,士林,16863
1,大坪林,3932
1,大安,20869
1,大安森林公園,4487
1,大橋頭站,5357
1,大湖公園,719
1,大直,5559
1,奇岩,3896
1,小南門,2749
1,小碧潭,135
1,市政府,118656
1,幸福,247
1,府中,9488
1,後山埤,6509
1,徐匯中學,1021
1,復興崗,1384
1,忠孝復興,55332
1,忠孝敦化,43683
1,忠孝新生,29867
1,忠義,662
1,文德,1288
1,新北投,1203
1,新北產業園區,276
1,新埔,7381
1,新埔民生,230
1,新店,1480
1,新店區公所,1419
1,新莊,2680
1,昆陽,4762
1,明德,3727
1,景安,2222
1,景平,211
1,景美,4050
1,木柵,505
1,東湖,1274
1,東門,18889
1,松山,18788
1,松山機場,907
1,松江南京,25127
1,板新,192
1,橋和,84
1,民權西路,16420
1,永安市場,3887
1,永寧,1117
1,永春,37522
1,江子翠,5569
1,海山,2799
1,淡水,14303
1,港墘,9763
1,石牌,13654
1,秀朗橋,181
1,科技大樓,3197
1,竹圍,5214
1,紅樹林,3424
1,芝山,10245
1,菜寮,3316
1,萬芳社區,314
1,萬芳醫院,1193
1,萬隆,3863
1,葫洲,1558
1,蘆洲,1107
1,行天宮,17120
1,西湖,10303
1,西門,76059
1,象山,54730
1,輔大,2249
1,辛亥,1772
1,迴龍,1354
1,關渡,3839
1,雙連,19101
1,頂埔,1129
1,頂溪,6389
1,頭前庄,1236
1,麟光,2489
1,龍山寺,12002
2,BL板橋,3029
2,Y板橋,379
2,七張,770
2,三和國中,647
2,三民高中,562
2,三重,1705
2,三重國小,766
2,中原,78
2,中和,161
2,中山,3234
2,中山國中,858
2,中山國小,1626
2,中正紀念堂,1392
2,丹鳳,533
2,亞東醫院,767
2,信義安和,23181
2,先嗇宮,348
2,內湖,554
2,公館,4268
2,六張犁,6410
2,劍南路,4138
2,劍潭,2974
2,動物園,1724
2,北投,985
