西元日期,星期,是否放假,備註
20230101,日,2,開國紀念日
20230102,一,2,補假
20230103,二,0,
20230104,三,0,
20230105,四,0,
20230106,五,0,
20230107,六,0,補行上班
20230108,日,2,
20230109,一,0,
20230110,二,0,
20230111,三,0,
20230112,四,0,
20230113,五,0,
20230114,六,2,
20230115,日,2,
20230116,一,0,
20230117,二,0,
20230118,三,0,
20230119,四,0,
20230120,五,2,小年夜
20230121,六,2,農曆除夕
20230122,日,2,春節
20230123,一,2,春節
20230124,二,2,春節
20230125,三,2,補假
20230126,四,2,補假
20230127,五,2,調整放假
20230128,六,2,
20230129,日,2,
20230130,一,0,
20230131,二,0,
20230201,三,0,
20230202,四,0,
20230203,五,0,
20230204,六,0,補行上班
20230205,日,2,
20230206,一,0,
20230207,二,0,
20230208,三,0,
20230209,四,0,
20230210,五,0,
20230211,六,2,
20230212,日,2,
20230213,一,0,
20230214,二,0,
20230215,三,0,
20230216,四,0,
20230217,五,0,
20230218,六,0,補行上班
20230219,日,2,
20230220,一,0,
20230221,二,0,
20230222,三,0,
20230223,四,0,
20230224,五,0,
20230225,六,2,
20230226,日,2,
20230227,一,2,調整放假
20230228,二,2,和平紀念日
20230301,三,0,
20230302,四,0,
20230303,五,0,
20230304,六,2,
20230305,日,2,
20230306,一,0,
20230307,二,0,
20230308,三,0,
20230309,四,0,
20230310,五,0,
20230311,六,2,
20230312,日,2,
20230313,一,0,
20230314,二,0,
20230315,三,0,
20230316,四,0,
20230317,五,0,
20230318,六,2,
20230319,日,2,
20230320,一,0,
20230321,二,0,
20230322,三,0,
20230323,四,0,
20230324,五,0,
20230325,六,0,補行上班
20230326,日,2,
20230327,一,0,
20230328,二,0,
20230329,三,0,
20230330,四,0,
20230331,五,0,
20230401,六,2,
20230402,日,2,
20230403,一,2,調整放假
20230404,二,2,兒童節
20230405,三,2,民族掃墓節
20230406,四,0,
20230407,五,0,
20230408,六,2,
20230409,日,2,
20230410,一,0,
20230411,二,0,
20230412,三,0,
20230413,四,0,
20230414,五,0,
20230415,六,2,
20230416,日,2,
20230417,一,0,
20230418,二,0,
20230419,三,0,
20230420,四,0,
20230421,五,0,
20230422,六,2,
20230423,日,2,
20230424,一,0,
20230425,二,0,
20230426,三,0,
20230427,四,0,
20230428,五,0,
20230429,六,2,
20230430,日,2,
20230501,一,0,
20230502,二,0,
20230503,三,0,
20230504,四,0,
20230505,五,0,
20230506,六,2,
20230507,日,2,
20230508,一,0,
20230509,二,0,
20230510,三,0,
20230511,四,0,
20230512,五,0,
20230513,六,2,
20230514,日,2,
20230515,一,0,
20230516,二,0,
20230517,三,0,
20230518,四,0,
20230519,五,0,
20230520,六,2,
20230521,日,2,
20230522,一,0,
20230523,二,0,
20230524,三,0,
20230525,四,0,
20230526,五,0,
20230527,六,2,
20230528,日,2,
20230529,一,0,
20230530,二,0,
20230531,三,0,
20230601,四,0,
20230602,五,0,
20230603,六,2,
20230604,日,2,
20230605,一,0,
20230606,二,0,
20230607,三,0,
20230608,四,0,
20230609,五,0,
20230610,六,2,
20230611,日,2,
20230612,一,0,
20230613,二,0,
20230614,三,0,
20230615,四,0,
20230616,五,0,
20230617,六,0,補行上班
20230618,日,2,
20230619,一,0,
20230620,二,0,
20230621,三,0,
20230622,四,2,端午節
20230623,五,2,調整放假
20230624,六,2,
20230625,日,2,
20230626,一,0,
20230627,二,0,
20230628,三,0,
20230629,四,0,
20230630,五,0,
20230701,六,2,
20230702,日,2,
20230703,一,0,
20230704,二,0,
20230705,三,0,
20230706,四,0,
20230707,五,0,
20230708,六,2,
20230709,日,2,
20230710,一,0,
20230711,二,0,
20230712,三,0,
20230713,四,0,
20230714,五,0,
20230715,六,2,
20230716,日,2,
20230717,一,0,
20230718,二,0,
20230719,三,0,
20230720,四,0,
20230721,五,0,
20230722,六,2,
20230723,日,2,
20230724,一,0,
20230725,二,0,
20230726,三,0,
20230727,四,0,
20230728,五,0,
20230729,六,2,
20230730,日,2,
20230731,一,0,
20230801,二,0,
20230802,三,0,
20230803,四,0,
20230804,五,0,
20230805,六,2,
20230806,日,2,
20230807,一,0,
20230808,二,0,
20230809,三,0,
20230810,四,0,
20230811,五,0,
20230812,六,2,
20230813,日,2,
20230814,一,0,
20230815,二,0,
20230816,三,0,
20230817,四,0,
20230818,五,0,
20230819,六,2,
20230820,日,2,
20230821,一,0,
20230822,二,0,
20230823,三,0,
20230824,四,0,
20230825,五,0,
20230826,六,2,
20230827,日,2,
20230828,一,0,
20230829,二,0,
20230830,三,0,
20230831,四,0,
20230901,五,0,
20230902,六,2,
20230903,日,2,
20230904,一,0,
20230905,二,0,
20230906,三,0,
20230907,四,0,
20230908,五,0,
20230909,六,2,
20230910,日,2,
20230911,一,0,
20230912,二,0,
20230913,三,0,
20230914,四,0,
20230915,五,0,
20230916,六,2,
20230917,日,2,
20230918,一,0,
20230919,二,0,
20230920,三,0,
20230921,四,0,
20230922,五,0,
20230923,六,0,補行上班
20230924,日,2,
20230925,一,0,
20230926,二,0,
20230927,三,0,
20230928,四,0,
20230929,五,2,中秋節
20230930,六,2,
20231001,日,2,
20231002,一,0,
20231003,二,0,
20231004,三,0,
20231005,四,0,
20231006,五,0,
20231007,六,2,
20231008,日,2,
20231009,一,2,調整放假
20231010,二,2,國慶日
20231011,三,0,
20231012,四,0,
20231013,五,0,
20231014,六,2,
20231015,日,2,
20231016,一,0,
20231017,二,0,
20231018,三,0,
20231019,四,0,
20231020,五,0,
20231021,六,2,
20231022,日,2,
20231023,一,0,
20231024,二,0,
20231025,三,0,
20231026,四,0,
20231027,五,0,
20231028,六,2,
20231029,日,2,
20231030,一,0,
20231031,二,0,
20231101,三,0,
20231102,四,0,
20231103,五,0,
20231104,六,2,
20231105,日,2,
20231106,一,0,
20231107,二,0,
20231108,三,0,
20231109,四,0,
20231110,五,0,
20231111,六,2,
20231112,日,2,
20231113,一,0,
20231114,二,0,
20231115,三,0,
20231116,四,0,
20231117,五,0,
20231118,六,2,
20231119,日,2,
20231120,一,0,
20231121,二,0,
20231122,三,0,
20231123,四,0,
20231124,五,0,
20231125,六,2,
20231126,日,2,
20231127,一,0,
20231128,二,0,
20231129,三,0,
20231130,四,0,
20231201,五,0,
20231202,六,2,
20231203,日,2,
20231204,一,0,
20231205,二,0,
20231206,三,0,
20231207,四,0,
20231208,五,0,
20231209,六,2,
20231210,日,2,
20231211,一,0,
20231212,二,0,
20231213,三,0,
20231214,四,0,
20231215,五,0,
20231216,六,2,
20231217,日,2,
20231218,一,0,
20231219,二,0,
20231220,三,0,
20231221,四,0,
20231222,五,0,
20231223,六,2,
20231224,日,2,
20231225,一,0,
20231226,二,0,
20231227,三,0,
20231228,四,0,
20231229,五,0,
20231230,六,2,
20231231,日,2,
